time,bus,t2m,u10,v10,ssrd,blh,T_a,v_wind,solar_W,BLH,VI,MDI
2025-07-04 00:00:00,0,292.9697703904505,4.704942754291959,3.013364436044019,227112.67743193786,102.78935623836786,19.819770390450515,5.5872042691832275,63.086854842204964,102.78935623836786,574.3051300016045,0.044097465645167803
2025-07-04 00:00:00,1,294.9987787856021,3.6310429925541134,0.22878109624194112,221836.62336950257,60.079174562594844,21.84877878560212,3.6382432579163804,61.62128426930627,60.079174562594844,218.582651793542,0.01678365815410436
2025-07-04 00:00:00,2,292.53792706741154,2.7453586111877795,-3.533909675339427,199822.3130028847,147.13549062105471,19.387927067411567,4.474987318136277,55.506198056356865,147.13549062105471,658.429454576979,0.05055687079252415
2025-07-04 00:00:00,3,291.7795267109187,1.9379109307578999,-2.9331969537800515,138833.2000668387,425.202507173324,18.629526710918697,3.5155573022232938,38.56477779634408,425.202507173324,1494.8237790168316,0.11477860251847388
2025-07-04 00:00:00,4,289.74777004871606,4.2578351424866,-3.4467345070553232,159619.91368508304,189.95112644888206,16.597770048716086,5.478059771736686,44.338864912523064,189.95112644888206,1040.5636243956892,0.07989867455697636
2025-07-04 00:00:00,5,290.8756144852153,0.2934438009678633,-0.48177930376020195,130621.99927135234,201.76967677854853,17.725614485215317,0.5641104163708838,36.28388868648676,201.76967677854853,113.82037637856565,0.008739587851252251
2025-07-04 00:00:00,6,289.178853835896,1.673433046731658,1.4104914772140091,195866.7869850718,81.8443383460869,16.02885383589603,2.188575876954454,54.40744082918661,81.8443383460869,179.1225445695442,0.013753751869513067
2025-07-04 00:00:00,7,290.8136594991182,6.2580099281814725,0.08010287907584156,220725.91731909342,184.33038587704314,17.66365949911824,6.258522567863291,61.31275481085928,184.33038587704314,1153.6358799544232,0.08858081867243807
2025-07-04 00:00:00,8,291.1934692786324,5.443459054200994,2.8275889726101653,199193.56397172835,161.45234898776596,18.043469278632415,6.134044821550408,55.33154554770232,161.45234898776596,990.355945235555,0.07604352632439582
2025-07-04 00:00:00,9,288.93906230661634,2.4549783593619345,-1.3934259709347414,109354.05667097922,422.78467336644655,15.789062306616358,2.822862852037067,30.376126853049783,422.78467336644655,1193.463148856767,0.091638917112473
2025-07-04 00:00:00,10,289.9571483616412,1.0944532682518602,0.4995740358919112,85921.30101773985,185.8577835258239,16.807148361641225,1.2030802856520053,23.867028060483293,185.8577835258239,223.60183529489677,0.01716905131961059
2025-07-04 00:00:00,11,290.0299827035257,0.7189730423018885,-0.48598382553653635,97297.54516791963,229.8380272581772,16.87998270352574,0.8678147925911149,27.027095879977676,229.8380272581772,199.45683995460607,0.01531510113372555
2025-07-04 00:00:00,12,288.72035948500366,2.1124942228520376,-1.3688022885826114,153909.06670386696,418.5690401207396,15.570359485003678,2.5171912018780436,42.75251852885194,418.5690401207396,1053.6183051704636,0.08090106563255779
2025-07-04 00:00:00,13,289.84293844693246,2.4013375847342795,-0.7962497189080253,205722.78354673198,438.44872471940397,16.692938446932487,2.529908261324622,57.14521765186999,438.44872471940397,1109.2350508348652,0.08517154382108648
2025-07-04 00:00:00,14,287.8830908167065,2.789094937661842,-0.9557586236459257,258829.40235206793,484.63132289194834,14.733090816706522,2.9483088572882705,71.89705620890776,484.63132289194834,1428.8428218016631,0.10971231833949911
